Environment_State,Opponent_Strategy,NPC_Action_Type,Sensory_Input_Level,Decision_Time,Policy_Confidence,Reward_Score,Human_Likeness_Score,Behavioral_Diversity
Calm,Balanced,Defend,0.08261766345926869,2.8844865757133618,0.5744367558722058,34,0.27826766081876964,0.6658577662162772
Calm,Random,Attack,0.5146575865735116,2.3143792997130603,0.13788526935601042,0,0.3954182702423781,0.37867420997278356
Combat,Aggressive,Explore,0.8989008240062354,2.580100256553273,0.6887625408113653,51,0.6871899964686766,0.9544227803210739
Chaotic,Defensive,Hide,0.7824849245639379,1.848886487894498,0.8977435665097253,84,0.8147936675236587,0.8741689214820684
Chaotic,Aggressive,Hide,0.22784241754310997,2.522682709442165,0.7451794953696144,92,0.4173916240061003,0.7079409157399947
Calm,Defensive,Communicate,0.9759908495987925,2.3748204882099113,0.07643986103944767,69,0.30966887040129254,0.7136520744937427
Combat,Random,Defend,0.6673503980464284,1.1932580715862122,0.8958841811926596,36,0.9378257999850671,0.25240171494215125
Calm,Balanced,Explore,0.010427699397403067,1.7007718761500912,0.7939293858599648,64,0.6771449666716692,0.656815231088449
Calm,Aggressive,Communicate,0.2554134846852195,2.433784053770115,0.15830390010561435,50,0.11902130449314108,0.19820626523551965
Stealth,Balanced,Explore,0.26071329991991654,0.23356452915087347,0.051785888732816865,0,0.06892787813464862,0.14400322391982212
Stealth,Aggressive,Defend,0.06925430628585993,2.4434299188319066,0.5573105753143085,90,0.48354985079036905,0.9994678942025802
Stealth,Defensive,Hide,0.959826518075929,0.6158755597421679,0.1560358113399769,20,0.22009006604727244,0.6223759314731742
Chaotic,Balanced,Attack,0.47825529457592375,1.592582489652173,0.834590952595272,52,0.2539847533762535,0.4309878726571905
Combat,Aggressive,Hide,0.895814597371882,2.443998774712219,0.35833465667167375,15,0.8776921788278482,0.28816452288395134
Combat,Defensive,Communicate,0.32221550344462835,0.836081126654415,0.9128924447365754,60,0.08956602431631067,0.6039204436622274
Combat,Balanced,Attack,0.12523357043282712,0.8128415739878437,0.5656881721410058,53,0.7153641152288897,0.049593508220086124
Combat,Balanced,Communicate,0.4743361099062139,1.2680167555405304,0.18267238423966814,39,0.27114225338058806,0.09468099050479506
Stealth,Aggressive,Defend,0.11395663471431716,2.6944641129751403,0.1395988673598001,25,0.7603282214041377,0.032856697740396346
Chaotic,Aggressive,Attack,0.4860155029775399,0.10128406616790286,0.5764724375577539,79,0.7224113844635446,0.49916983326266173
Chaotic,Aggressive,Communicate,0.9202971812194077,2.7140109802616115,0.7618836118624439,91,0.007391901444293025,0.6006066291871826
Stealth,Defensive,Defend,0.5207681418342127,0.5460403714606625,0.7815056477421821,64,0.5091354129215991,0.06247976135782085
Chaotic,Aggressive,Hide,0.6164997268950835,2.971250490595698,0.2757574044412813,99,0.13931948237804637,0.7212244674989166
Stealth,Balanced,Defend,0.1566384369738083,2.8690562798115575,0.20424675891216748,73,0.8662270305786768,0.2303950715145644
Combat,Balanced,Explore,0.043735625879969486,1.5345580498147218,0.016756304492382412,63,0.8715858828624066,0.6852014537698661
Stealth,Aggressive,Defend,0.11080796217980704,1.5868887186566216,0.6791991512011694,42,0.41834580749375805,0.9818971400352456
Combat,Aggressive,Defend,0.5985315756843657,1.4964930867999775,0.07656825843353898,16,0.44439561845108055,0.6911058700538512
Combat,Random,Explore,0.09501169899230466,1.9427865724126157,0.4207612017659258,58,0.3032829394045271,0.8831930529236085
Calm,Balanced,Communicate,0.3759928899413114,0.36309293648130003,0.6016821640182961,22,0.716606298960031,0.9481985067430674
Stealth,Defensive,Communicate,0.550091940458156,0.19459205019054288,0.937108944919677,6,0.3586613630264591,0.48675104835231553
Calm,Random,Defend,0.38865279862984703,0.2673384924061067,0.31180213695576864,43,0.26779247452263377,0.7023249794197068
Stealth,Aggressive,Explore,0.16368380146530148,1.3886595128003918,0.24977216244651979,52,0.43223105950450824,0.8519692535558417
Stealth,Aggressive,Explore,0.2737913075141065,0.8990890237365018,0.6541601542860984,70,0.09148751838745872,0.3566089128743861
Calm,Balanced,Hide,0.928317532848577,1.903914730875882,0.6192390320535817,78,0.7466032046442038,0.2613973165603949
Calm,Aggressive,Communicate,0.6759822755863554,2.978082639186859,0.3321097833081246,33,0.012596401271786961,0.9465985727783387
Stealth,Defensive,Attack,0.49604783867988655,1.220337201921751,0.9281018355097865,45,0.6444850615205939,0.726303500368818
Chaotic,Balanced,Communicate,0.012714889986893518,1.7641396369030888,0.8448623274896327,67,0.18286452675487241,0.21968213337582632
Combat,Aggressive,Communicate,0.9924154004894702,1.305251298131273,0.22398254586508115,77,0.23240404621441313,0.4490833926761134
Calm,Balanced,Hide,0.6714549348946433,2.557087836393392,0.23914254543452318,77,0.6356319986400399,0.7964517695378094
Combat,Aggressive,Attack,0.31692247734494494,2.7164855700404904,0.5123003468870806,15,0.9929434657829072,0.5470629909184421
Chaotic,Aggressive,Hide,0.8792686599978382,2.644331275395254,0.7735721017307203,70,0.7777174890725507,0.6499520981658891
Chaotic,Aggressive,Attack,0.2584316202918181,2.9256794921698472,0.04404037938846439,95,0.22583963222339198,0.7537682020450523
Chaotic,Defensive,Defend,0.5440165791827516,0.17980563690720436,0.6933351537347067,18,0.1760247550411338,0.6220091888089806
Calm,Defensive,Attack,0.6360707637298251,2.5354668702220398,0.648235897382097,1,0.8662328702676704,0.5400793219221958
Chaotic,Balanced,Hide,0.22106337145372845,2.2801393018133704,0.23148009591298824,9,0.4441839479215043,0.7496142843877734
Calm,Aggressive,Communicate,0.9783972788005959,0.7632137872610578,0.6813530132413488,49,0.13705280282815546,0.7275630354322007
Chaotic,Aggressive,Attack,0.7481919059789975,2.87332827082383,0.9401831912520826,80,0.8622114233219381,0.6298724001831789
Combat,Defensive,Attack,0.5578132255110699,0.5297159918668418,0.04678584497176852,11,0.8160923529142614,0.3597894133819296
Combat,Aggressive,Explore,0.18059459817530088,2.0706947886883342,0.31965205529206253,69,0.9839063638971636,0.4058120922002716
Stealth,Defensive,Communicate,0.053858206998026126,0.7521816287661461,0.43817671666635527,21,0.9097436867126839,0.9704385488840974
Combat,Aggressive,Defend,0.32005983252098347,1.3510038814448166,0.8992603589246896,31,0.8517903386605417,0.11238593229152583
Stealth,Balanced,Hide,0.7531873359134028,2.18556370113925,0.9622614466091567,83,0.05257439781100315,0.2685049172528353
Combat,Aggressive,Defend,0.26933129830202507,1.7336414618958353,0.44411524649633227,0,0.10441536949811803,0.4924017592043357
Calm,Aggressive,Communicate,0.5395562204955051,1.3397553108515239,0.7500284121421912,53,0.5689831943041228,0.8367296861437858
Combat,Random,Attack,0.7279471767307432,1.046381449702763,0.531661023764483,57,0.5314792462818209,0.16367566372972786
Stealth,Defensive,Attack,0.10794371464646435,2.535013001555492,0.5377829347413765,69,0.4579632144895355,0.27695461812460986
Stealth,Aggressive,Communicate,0.6852980161158734,0.5170616159129597,0.27809951506635644,82,0.3967893254145842,0.06579821779523898
Chaotic,Aggressive,Attack,0.0918708877100447,1.3472983419364202,0.21695624586387952,17,0.4312104848643289,0.7059852660508185
Calm,Random,Attack,0.9651297421269965,2.7208969581479123,0.28800534592404115,5,0.5692979341347952,0.23820943547561613
Combat,Random,Attack,0.4883941300649396,2.552963696333906,0.5563280072570793,44,0.002076517600081207,0.3886747506709505
Chaotic,Defensive,Hide,0.15067610770987738,1.2627311111718356,0.029155186022088997,96,0.2607087741328522,0.44370144702966785
Combat,Random,Hide,0.3423836360335465,2.313014254443794,0.9072489443564058,22,0.5182797206887111,0.8913139356064557
Combat,Balanced,Explore,0.41341644929526145,2.4871664090556918,0.15628370954977622,22,0.7222160986736462,0.4113302903312368
Chaotic,Random,Defend,0.7581850110765374,2.6777735296105263,0.22008867687138656,25,0.17415669239539633,0.14522501991524905
Chaotic,Balanced,Communicate,0.7434237860766093,1.679066730242761,0.5182761764476463,76,0.546881173787433,0.524314938340121
Chaotic,Defensive,Communicate,0.611940505337331,0.6929365695586642,0.7101147663372793,6,0.7144596838857817,0.9629579946486296
Chaotic,Defensive,Communicate,0.10593071255849296,0.8403963218614017,0.0957290547443973,78,0.4446276579139047,0.607685641050811
Chaotic,Defensive,Explore,0.15156937158767358,0.9575145547206522,0.3176946975471622,43,0.02708113367005105,0.9833872204605726
Combat,Defensive,Hide,0.09375692064555663,1.822027194347885,0.9686746055743571,26,0.4492681584656367,0.8411073089388701
Chaotic,Defensive,Explore,0.5771727832875501,0.1951479099729645,0.2623429667809457,25,0.2964448877441531,0.0359657562134128
Calm,Balanced,Communicate,0.877138441511404,1.9445231594619081,0.3130501450631469,96,0.9296496077013283,0.6583995953770418
Stealth,Balanced,Defend,0.4338005122547718,1.156627291441873,0.8364984906180335,78,0.12461338567832736,0.28676687755788366
Chaotic,Defensive,Attack,0.1608481739577462,0.9562012272199623,0.05021443169045525,35,0.6524759555072321,0.5596168556447239
Chaotic,Random,Hide,0.558042325148967,2.6505400551115663,0.46461316880897086,54,0.05271976633450115,0.27934519093122656
Combat,Aggressive,Hide,0.8117522168657099,1.4340069471843169,0.37961676445167025,63,0.4461704378126965,0.3488704166052904
Chaotic,Defensive,Explore,0.74171206151293,0.37565383204480907,0.31658675990865115,90,0.5539794872200806,0.9231687117541794
Chaotic,Random,Hide,0.8814507796750214,2.497565627276116,0.2856995940447645,56,0.29795493131686546,0.2066431848917053
Chaotic,Aggressive,Communicate,0.27790209724886783,0.23815964656586913,0.0913741048604092,68,0.45507563552038444,0.8741091180258305
Combat,Defensive,Communicate,0.19395386726777486,2.2075727500877704,0.3148258293516488,60,0.16355379453018737,0.030457808070496806
Chaotic,Defensive,Explore,0.8798164859419387,2.344328043134929,0.04305240271566857,1,0.30412384946803617,0.09087653836964837
Stealth,Balanced,Communicate,0.6575603127780231,1.1225475571936887,0.7809638636444353,54,0.621106324910203,0.8546750413842635
Combat,Aggressive,Defend,0.31092893000755417,2.4918847832055815,0.39822779395801167,96,0.3018000558611551,0.6305560309091953
Stealth,Aggressive,Explore,0.7423480505725092,1.595412276983715,0.4439038323199116,79,0.8997430784088717,0.7472361380395502
Combat,Random,Defend,0.8151183844803679,1.4435515944911108,0.8935945864501316,86,0.6284069576409897,0.20941767082185425
Chaotic,Balanced,Attack,0.6149782403411324,0.2316695162592084,0.6580549838612207,37,0.4386490184359845,0.5370834555901035
Stealth,Balanced,Defend,0.6878841098799151,0.941084661581827,0.008059103342119789,79,0.03875693555418247,0.7372192235713048
Combat,Balanced,Attack,0.3752599044426663,2.7999289155673694,0.943174822961285,77,0.49954833520467123,0.6273141370102625
Calm,Balanced,Attack,0.5386956673430391,1.23628949352215,0.23714446597771122,28,0.7647762421250892,0.4716987668912095
Chaotic,Aggressive,Defend,0.5241591707261622,1.6854315096146282,0.10761418475985884,25,0.26555759801241363,0.9597837864377148
Combat,Aggressive,Explore,0.8480477911307719,1.6428628690543303,0.7681281783808822,34,0.8067735696487673,0.6761573334534453
Calm,Defensive,Communicate,0.8399639802821826,1.8122501604858108,0.5004773158667182,78,0.2518067660508815,0.9077508002412379
Combat,Defensive,Communicate,0.8326804693470432,0.2778597713655196,0.43377056601801756,66,0.8237463879508005,0.7297705115736812
Calm,Balanced,Attack,0.011031614262465794,1.150311138916312,0.24950307968274177,86,0.0852683416116774,0.7354635285976832
Chaotic,Balanced,Attack,0.7495454844688882,2.197071994259407,0.5474714898623186,28,0.8661837088690295,0.08001826975767934
Stealth,Balanced,Explore,0.7586763901110049,0.6816247281116504,0.27438460520258745,33,0.4991864509333305,0.35946462185394357
Calm,Defensive,Hide,0.6783788228551418,0.6903772948844452,0.9015830052870676,96,0.296537589620262,0.8583694067196584
Combat,Random,Defend,0.7562646578914526,0.12926275939817172,0.2152044797331928,40,0.26511325041514877,0.23260386214875595
Chaotic,Random,Attack,0.8419703714967087,1.3686975871638083,0.8843551504557535,40,0.43201055893036266,0.11550586615646619
Calm,Defensive,Communicate,0.47031905410178565,2.659929703952924,0.559405425727357,22,0.999049498103645,0.32610605663879344
Combat,Defensive,Explore,0.5020502134884471,0.25051273640319616,0.828488133895241,70,0.22032739343758256,0.22043788489261396
Combat,Defensive,Defend,0.12471405691139048,0.6542442575384075,0.712845995860955,2,0.10321664887899962,0.9252881947931552
Combat,Defensive,Explore,0.3853758830473618,0.9992451611939897,0.6966951114367486,57,0.5850351687186619,0.8679666420021311
Calm,Defensive,Defend,0.6433651799117843,2.2220017360362174,0.3243458076950557,31,0.4885424664402571,0.4996832302829042
Calm,Defensive,Defend,0.7803997761472745,1.957843219127501,0.23389693147220347,30,0.5241962710633074,0.06134387448386802
Calm,Balanced,Attack,0.21720909769121055,1.3062373232873796,0.21088622768078813,81,0.6669354175572171,0.7145623460931563
Stealth,Balanced,Explore,0.1378228991592354,2.3012999238492897,0.8571916570595887,42,0.2671440698706493,0.6234117313362646
Calm,Balanced,Explore,0.6630420045004922,1.8679299338050157,0.82042682025902,6,0.9106649953838885,0.9705546707284959
Calm,Balanced,Communicate,0.0018798835249106416,2.6985183190059354,0.4405735280123073,0,0.43567206612229037,0.558953240270377
Calm,Defensive,Communicate,0.17837258430732983,2.4722775725022097,0.1324046134964546,60,0.12908619514246178,0.3363937234029094
Stealth,Random,Attack,0.029071380343953734,0.8331594576586816,0.3822522519774584,13,0.7422987567339443,0.5190216935785558
Calm,Aggressive,Attack,0.16688511785487092,0.8871718751391805,0.6193434541369114,51,0.6431043526178503,0.9792632914045163
Combat,Defensive,Hide,0.18131927992550523,0.4635337797979183,0.45440315447995283,95,0.3157434024840371,0.6963624325330305
Calm,Aggressive,Communicate,0.3876735947503942,1.0771977045806238,0.780189268482995,5,0.6215187240340485,0.6719761379270511
Combat,Random,Defend,0.40232712468655596,2.9986773642853737,0.9976228222513854,9,0.21986195636897687,0.24068158972588538
Combat,Balanced,Explore,0.8742624706102378,1.276678388983677,0.19113208844889684,70,0.44483935934052954,0.7436025175606177
Combat,Random,Attack,0.5101097124988252,0.7394164605984085,0.45965081965957244,89,0.8994125221673253,0.7502718294717717
Stealth,Defensive,Explore,0.7234047656122863,2.3112003649791037,0.43098390192082203,97,0.13353423316074942,0.3172889837759053
Stealth,Balanced,Explore,0.10413735792028744,1.6731659100417027,0.30449253274895083,29,0.386696449987462,0.4837138323907132
Stealth,Defensive,Hide,0.22543875546369385,0.5338442036281623,0.19809551672028958,99,0.8211424247203473,0.29460333294045604
Calm,Balanced,Communicate,0.7029434409786768,1.2040000753665108,0.06569211648965922,20,0.9694908994061782,0.2587050703242867
Combat,Aggressive,Attack,0.05280396046852809,1.3019621750640957,0.8871193172236984,59,0.4539261364217959,0.025896070249485148
Stealth,Aggressive,Explore,0.4865976622437531,2.286106131650734,0.4198486976863176,80,0.5069996201433474,0.2852117446533321
Stealth,Aggressive,Attack,0.5993689656629339,0.15994696978652295,0.49689551850004887,96,0.5721719617837697,0.5539699498782749
Calm,Random,Defend,0.602145644052481,0.8801569757151003,0.9169420482009158,73,0.9323481416337108,0.0016011875490288263
Stealth,Defensive,Hide,0.02293281126804203,1.601029273815014,0.7762904775159478,62,0.8582067909770298,0.2832190838096674
Calm,Random,Defend,0.3221080042291855,0.8796555531132456,0.1305012641171842,41,0.17060112462164434,0.8814103323232501
Chaotic,Aggressive,Attack,0.636490651049154,1.9224587375150968,0.5654199676077424,50,0.436757817847075,0.5936485851073608
Stealth,Defensive,Attack,0.14899973614924344,1.4974156898963882,0.4422522765195591,63,0.4640004281964263,0.6078628240809805
Chaotic,Aggressive,Communicate,0.6954156483280532,1.148959739092784,0.7972110725787628,75,0.7890961116487567,0.40336430502635323
Calm,Random,Explore,0.7459252088136745,2.8527050179244853,0.7242325476119492,55,0.6028928826054353,0.676472143492411
Combat,Random,Explore,0.9819691904461453,1.9332625476407266,0.690405721911072,79,0.654220462029013,0.18993276623035915
Stealth,Random,Defend,0.20984199485640942,0.47682997957702955,0.3405448354798969,40,0.9981999076656176,0.8187468103841916
Calm,Aggressive,Hide,0.8251306676661152,1.724265922585847,0.8049637303992545,31,0.07496004347001306,0.11668911993589981
Combat,Defensive,Explore,0.520296576918654,2.364122374282613,0.05239129559486122,14,0.223009823533733,0.6560013546531093
Combat,Defensive,Communicate,0.37346259614417343,2.154620122729112,0.15962490143216723,61,0.40789593737154684,0.34114932581968305
Chaotic,Aggressive,Defend,0.12237675732517794,0.5990587649562522,0.3356232729779117,26,0.3477824030488872,0.7475129705824768
Calm,Defensive,Defend,0.7355056064875376,2.9200179972163,0.07680744106928128,27,0.02164556134698359,0.54976455126602
Combat,Aggressive,Communicate,0.2358575991436871,1.4015595726651573,0.2349942775346916,80,0.09177760647117583,0.4523530384787162
Stealth,Defensive,Hide,0.37142200187304575,0.5611725108467578,0.8301509829979181,63,0.6809532914035762,0.169422402093247
Stealth,Balanced,Communicate,0.06254222689736844,0.6225676869716289,0.9482515377900793,58,0.8793244633625606,0.6368214642843528
Chaotic,Balanced,Hide,0.801366915819519,0.38488147734833345,0.3046023557741905,57,0.5142270112659776,0.9747698434204131
Combat,Random,Communicate,0.7665885239716433,2.4302025144613095,0.2645158039888382,1,0.539191079513633,0.825603424907015
Calm,Balanced,Communicate,0.7336158300423125,0.45388843353336106,0.2798926522464269,35,0.2550934328323794,0.0600081925890118
Stealth,Balanced,Attack,0.29944351049188667,0.4628632457110661,0.27771908735084383,70,0.7678763636337114,0.3762293783611911
Combat,Balanced,Defend,0.17348007426595724,2.5663676828064292,0.03593018218597299,12,0.7517945873672564,0.9255830091902718
Combat,Aggressive,Communicate,0.6375532644702298,1.099351844897923,0.9269163463311081,14,0.5883656892176566,0.5030437475570214
Chaotic,Balanced,Communicate,0.49616638411321945,0.18948792249341012,0.2136981415703284,88,0.21266428651134284,0.6621118258081792
Stealth,Balanced,Explore,0.17825246690464158,0.25049636860339153,0.42000407408140494,86,0.09701821823708945,0.9125993455913904
Stealth,Random,Defend,0.6859112710498637,0.5122942954412971,0.00968688274096774,59,0.06423857585712589,0.8737946904198807
Calm,Balanced,Explore,0.9911264318213037,0.7188407091294996,0.8579550909150572,21,0.5926960666428778,0.501820375540511
Stealth,Balanced,Defend,0.7472195877420377,2.0289239632913754,0.7311573444549172,62,0.8250353191428,0.43764630265760207
Calm,Defensive,Explore,0.7399863866856118,0.5562462120053019,0.9467560351737032,89,0.8583304317809248,0.3396926184795871
Stealth,Random,Communicate,0.9503127529305917,0.4447357344135088,0.7816154791963991,96,0.4636220743434498,0.7190194431628911
Chaotic,Random,Communicate,0.2029363675749022,2.3176855102812097,0.31370651205206523,74,0.7842712993067169,0.28698679947154326
Stealth,Random,Attack,0.5655499649214404,2.0460603231937515,0.24787335872842364,73,0.9468801963410236,0.24988760643090013
Calm,Random,Explore,0.9796467150338835,1.3624402422201851,0.697716307553293,24,0.275170112488068,0.3562498946037801
Calm,Random,Hide,0.16529411097017455,1.6929983372923014,0.36411277501049943,47,0.39796034638075717,0.17721505687879202
Chaotic,Random,Attack,0.700251959444521,1.0047536589466135,0.5662150157526166,42,0.9314789925966807,0.6951198159457673
Stealth,Aggressive,Explore,0.585810145971902,1.499251218682546,0.006257471026470229,37,0.33823096731728486,0.6162406493306123
Stealth,Balanced,Explore,0.586479092188707,1.5693506820499628,0.06188570168047525,40,0.9138762903217963,0.4828785341158436
Chaotic,Random,Attack,0.6976706275200751,1.2229880864164782,0.5353679411816512,44,0.9810448622544657,0.39032577926155465
Stealth,Balanced,Communicate,0.9296169228756842,2.729059410949272,0.5660716464481651,87,0.6618107285744247,0.9090625428967315
Stealth,Balanced,Explore,0.782581939851338,0.14657940844491782,0.7514529444593436,39,0.8168902895041683,0.029123784989105284
Calm,Aggressive,Communicate,0.056136103416210004,2.368296662964614,0.13196531962396174,96,0.7495455642210852,0.7691077435072992
Stealth,Random,Attack,0.8527280198757112,0.4607102105998405,0.5131830837567788,16,0.6995342576155238,0.9019095717488887
Stealth,Defensive,Communicate,0.22554132992573261,2.4128873455578783,0.1944476444316886,87,0.30693107298123257,0.44635457942992596
Chaotic,Aggressive,Defend,0.37691416473637196,1.8861445554624916,0.09319611956269469,56,0.057094337907943715,0.5506904914706467
Chaotic,Defensive,Hide,0.46173281361238216,2.545506463715567,0.4104957940605546,1,0.3430517325196506,0.9444636878820379
Combat,Balanced,Explore,0.48090600075306966,0.38279154435860263,0.16333664808905723,95,0.6669359852039066,0.21227751528551442
Calm,Balanced,Hide,0.4351803992553568,1.7210438388893448,0.2217819781923186,61,0.10252919822780138,0.5201348477846849
Stealth,Aggressive,Communicate,0.9373532942158644,1.5531548527603716,0.31755457986950175,87,0.011917982978242092,0.4747211271282129
Stealth,Aggressive,Explore,0.7060190076640246,2.14796023059374,0.25938840074319625,8,0.13969237260293865,0.2583926478703701
Combat,Defensive,Communicate,0.6311706459567064,1.6494426004916598,0.0875912974059464,67,0.7157359264107953,0.8185932303731079
Stealth,Random,Defend,0.049842027782941556,1.6681302446860022,0.08991624485970229,80,0.972793701656444,0.8996005947632358
Calm,Defensive,Attack,0.9039133302603747,1.3458282363705876,0.19324941523416816,16,0.9830646996148205,0.7819325797882088
Combat,Aggressive,Explore,0.9093901920083962,0.9956198296212884,0.050559187959538954,49,0.4939791491401879,0.19535896084860838
Calm,Defensive,Defend,0.7802130634301023,1.4985666476313575,0.6264570196769271,93,0.8693523009923474,0.08674863550138157
Combat,Aggressive,Defend,0.007029203813619156,0.4436278404283617,0.28732671650890196,39,0.7368264557515041,0.6054444853053423
Combat,Defensive,Explore,0.057280251077623356,2.888388683050946,0.279745967769071,57,0.5010402369846034,0.057094760509883935
Chaotic,Aggressive,Communicate,0.22522370226848976,2.171791214517135,0.33199829423776517,74,0.5727605329550868,0.6728258885580842
Calm,Aggressive,Defend,0.1313494081449067,2.8621546383947556,0.6627962742097216,84,0.13722714661687108,0.5304242203272427
Stealth,Aggressive,Hide,0.39883602970372944,0.7575094087568934,0.8706338814834905,20,0.9376614606165921,0.6627857327436636
Stealth,Random,Defend,0.9226230580877897,2.6500889585119314,0.7590869325556384,17,0.3519297707317768,0.590170773649744
Calm,Defensive,Communicate,0.4720604341969983,2.4454909552342614,0.727529230225095,54,0.4461492564571695,0.4227025695271728
Stealth,Defensive,Communicate,0.01340262643216561,2.0637419961272534,0.48439118560084926,28,0.6716602309978987,0.20087718014022826
Stealth,Defensive,Hide,0.282745689578762,1.9125846396470967,0.6938055569674118,23,0.33390247152655395,0.30570213581048855
Calm,Aggressive,Defend,0.04459490837296154,1.017994029276823,0.5527623680335831,73,0.25425916098893053,0.5245005742189764
Combat,Defensive,Communicate,0.03628762261350216,2.467591276398589,0.2162505281865289,16,0.6310493932702206,0.6518680936476059
Calm,Defensive,Explore,0.27571985309555225,1.554394838291228,0.20858836774105072,17,0.02498408228184945,0.7794830168845285
Combat,Aggressive,Attack,0.2756123386789454,0.30558557008472753,0.29639200687528344,41,0.7207251120266789,0.7671707184490608
Stealth,Balanced,Attack,0.787126602601604,1.007303166479877,0.9108026709698133,83,0.5140233698765098,0.9726887432610853
Stealth,Aggressive,Attack,0.9748346527811119,2.81236158578145,0.5474148403797259,44,0.6057537305209344,0.28584144866340944
Stealth,Defensive,Defend,0.3712070938899983,2.5669727557540543,0.7339053770018694,81,0.6318801592468851,0.07111070821343679
Chaotic,Aggressive,Hide,0.4288868788610386,2.9475265244219635,0.3465587598165476,16,0.5270501564925637,0.3456569355418593
Combat,Balanced,Communicate,0.8447894362860214,1.9211808095518845,0.40771577066522524,72,0.582533777440736,0.7432944752240767
Chaotic,Aggressive,Explore,0.2681390200955134,0.8177792121071946,0.12556557863725137,13,0.6837882008898746,0.4381116510332952
Chaotic,Defensive,Explore,0.15638180440344795,0.572163644062905,0.17129495782167037,48,0.7531188471796741,0.8177884305894194
Calm,Balanced,Defend,0.8530896234036505,0.6420518777645386,0.8273565548261456,28,0.7274523912861205,0.549326365186015
Chaotic,Random,Attack,0.046500586440065494,0.15740740920703772,0.5848386316888821,94,0.8696164577322617,0.929791722630503
Calm,Defensive,Defend,0.6196994401994157,1.2329781218592237,0.3375324658838189,3,0.18944343316740275,0.9478634419990688
